FlightNumber,Date,PayloadMass,Flights,Block,ReusedCount,Longitude,Latitude,BoosterVersion,Orbit,LaunchSite,Serial,GridFins,Reused,Legs,Outcome,Class
1,2010-06-04,8191.079109589042,1,1,0,-80.577366,28.5618571,Falcon 9,LEO,CCSFS SLC 40,B0003,False,False,False,None None,0
2,2012-05-22,525.0,1,1,0,-80.577366,28.5618571,Falcon 9,LEO,CCSFS SLC 40,B0005,False,False,False,None None,0
3,2013-03-01,677.0,1,1,0,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B0007,False,False,False,None None,0
4,2013-09-29,500.0,1,1,0,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1003,False,False,False,False Ocean,0
5,2013-12-03,3170.0,1,1,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1004,False,False,False,None None,0
6,2014-01-06,3325.0,1,1,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1005,False,False,False,None None,0
7,2014-04-18,2296.0,1,1,0,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1006,False,False,True,True Ocean,1
8,2014-07-14,1316.0,1,1,0,-80.577366,28.5618571,Falcon 9,LEO,CCSFS SLC 40,B1007,False,False,True,True Ocean,1
9,2014-08-05,4535.0,1,1,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1008,False,False,False,None None,0
10,2014-09-07,4428.0,1,1,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1011,False,False,False,None None,0
11,2014-09-21,2216.0,1,1,0,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1010,False,False,False,False Ocean,0
12,2015-01-10,2395.0,1,1,0,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1012,True,False,True,False ASDS,0
13,2015-02-11,570.0,1,1,0,-80.577366,28.5618571,Falcon 9,ES-L1,CCSFS SLC 40,B1013,True,False,True,True Ocean,1
14,2015-04-14,1898.0,1,1,0,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1015,True,False,True,False ASDS,0
15,2015-04-27,4707.0,1,1,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1016,False,False,False,None None,0
16,2015-06-28,2477.0,1,1,0,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1018,True,False,True,None ASDS,0
17,2015-12-22,2034.0,1,1,0,-80.577366,28.5618571,Falcon 9,LEO,CCSFS SLC 40,B1019,True,False,True,True RTLS,1
18,2016-01-17,553.0,1,1,0,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1017,True,False,True,False ASDS,0
19,2016-03-04,5271.0,1,1,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1020,True,False,True,False ASDS,0
20,2016-04-08,3136.0,1,2,1,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1021,True,False,True,True ASDS,1
21,2016-05-06,4696.0,1,2,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1022,True,False,True,True ASDS,1
22,2016-05-27,3100.0,1,2,1,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1023,True,False,True,True ASDS,1
23,2016-07-18,2257.0,1,2,1,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1025,True,False,True,True RTLS,1
24,2016-08-14,4600.0,1,2,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1026,True,False,True,True ASDS,1
25,2016-09-01,5500.0,1,3,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1028,True,False,True,None ASDS,0
26,2017-01-14,9600.0,1,3,1,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1029,True,False,True,True ASDS,1
27,2017-02-19,2490.0,1,3,1,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1031,True,False,True,True RTLS,1
28,2017-03-16,5600.0,1,3,0,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1030,False,False,False,None None,0
29,2017-03-30,5300.0,2,2,1,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1021,True,True,True,True ASDS,1
30,2017-05-01,8191.079109589042,1,3,1,-80.6039558,28.6080585,Falcon 9,LEO,KSC LC 39A,B1032,True,False,True,True RTLS,1
31,2017-05-15,6070.0,1,3,0,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1034,False,False,False,None None,0
32,2017-06-03,2708.0,1,3,1,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1035,True,False,True,True RTLS,1
33,2017-06-23,3669.0,2,3,1,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1029,True,True,True,True ASDS,1
34,2017-06-25,9600.0,1,3,1,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1036,True,False,True,True ASDS,1
35,2017-07-05,6761.0,1,3,0,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1037,False,False,False,None None,0
36,2017-08-14,2910.0,1,4,1,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1039,True,False,True,True RTLS,1
37,2017-08-24,475.0,1,3,1,-120.610829,34.632093,Falcon 9,SSO,VAFB SLC 4E,B1038,True,False,True,True ASDS,1
38,2017-09-07,4990.0,1,4,1,-80.6039558,28.6080585,Falcon 9,LEO,KSC LC 39A,B1040,True,False,True,True RTLS,1
39,2017-10-09,9600.0,1,4,1,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1041,True,False,True,True ASDS,1
40,2017-10-11,5200.0,2,3,1,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1031,True,True,True,True ASDS,1
41,2017-10-30,3700.0,1,4,0,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1042,True,False,True,True ASDS,1
42,2017-12-15,2205.0,2,3,1,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1035,True,True,True,True RTLS,1
43,2017-12-23,9600.0,2,3,1,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1036,True,True,False,True Ocean,1
44,2018-01-08,8191.079109589042,1,4,1,-80.577366,28.5618571,Falcon 9,LEO,CCSFS SLC 40,B1043,True,False,True,True RTLS,1
45,2018-01-31,4230.0,2,3,1,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1032,True,True,True,True Ocean,1
46,2018-03-06,6092.0,1,4,0,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1044,True,False,True,None None,0
47,2018-03-30,9600.0,2,4,1,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1041,True,True,True,None None,0
48,2018-04-02,2760.0,2,4,1,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1039,True,True,True,None None,0
49,2018-04-18,350.0,1,4,1,-80.577366,28.5618571,Falcon 9,HEO,CCSFS SLC 40,B1045,True,False,True,True ASDS,1
50,2018-05-11,3750.0,1,5,3,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1046,True,False,True,True ASDS,1
51,2018-06-04,5383.85,2,4,1,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1040,False,True,False,None None,0
52,2018-06-29,2410.0,2,4,1,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1045,False,True,False,None None,0
53,2018-07-22,7076.0,1,5,2,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1047,True,False,True,True ASDS,1
54,2018-07-25,9600.0,1,5,4,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1048,True,False,True,True ASDS,1
55,2018-08-07,5800.0,2,5,3,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1046,True,True,True,True ASDS,1
56,2018-09-10,7060.0,1,5,9,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1049,True,False,True,True ASDS,1
57,2018-10-08,2800.0,2,5,4,-120.610829,34.632093,Falcon 9,SSO,VAFB SLC 4E,B1048,True,True,True,True RTLS,1
58,2018-11-15,3000.0,2,5,2,-80.6039558,28.6080585,Falcon 9,GTO,KSC LC 39A,B1047,True,True,True,True ASDS,1
59,2018-12-03,4000.0,3,5,3,-120.610829,34.632093,Falcon 9,SSO,VAFB SLC 4E,B1046,True,True,True,True ASDS,1
60,2018-12-05,2573.0,1,5,0,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1050,True,False,True,False RTLS,0
61,2018-12-23,4400.0,1,5,0,-80.577366,28.5618571,Falcon 9,MEO,CCSFS SLC 40,B1054,False,False,False,None None,0
62,2019-01-11,9600.0,2,5,9,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1049,True,True,True,True ASDS,1
63,2019-03-02,12259.0,1,5,12,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1051,True,False,True,True ASDS,1
64,2019-05-04,2482.0,1,5,3,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1056,True,False,True,True ASDS,1
65,2019-05-24,13200.0,3,5,9,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1049,True,True,True,True ASDS,1
66,2019-06-12,1425.0,2,5,12,-120.610829,34.632093,Falcon 9,SSO,VAFB SLC 4E,B1051,True,True,True,True RTLS,1
67,2019-07-25,2227.7,2,5,3,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1056,True,True,True,True RTLS,1
68,2019-08-06,6500.0,3,5,2,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1047,False,True,False,None None,0
69,2019-11-11,15600.0,4,5,4,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1048,True,True,True,True ASDS,1
70,2019-12-05,5000.0,1,5,5,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1059,True,False,True,True ASDS,1
71,2019-12-17,6800.0,3,5,3,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1056,True,True,True,True ASDS,1
72,2020-01-07,15600.0,4,5,9,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1049,True,True,True,True ASDS,1
73,2020-01-19,8191.079109589042,4,5,3,-80.6039558,28.6080585,Falcon 9,SO,KSC LC 39A,B1046,False,True,False,None None,0
74,2020-01-29,15600.0,3,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1051,True,True,True,True ASDS,1
75,2020-02-17,15600.0,4,5,3,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1056,True,True,True,False ASDS,0
76,2020-03-07,1977.0,2,5,5,-80.577366,28.5618571,Falcon 9,ISS,CCSFS SLC 40,B1059,True,True,True,True RTLS,1
77,2020-03-18,15600.0,5,5,4,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1048,True,True,True,False ASDS,0
78,2020-04-22,15600.0,4,5,12,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1051,True,True,True,True ASDS,1
79,2020-05-30,9525.0,1,5,13,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1058,True,False,True,True ASDS,1
80,2020-06-04,15600.0,5,5,9,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1049,True,True,True,True ASDS,1
81,2020-06-13,15600.0,3,5,5,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1059,True,True,True,True ASDS,1
82,2020-06-30,3880.0,1,5,12,-80.577366,28.5618571,Falcon 9,MEO,CCSFS SLC 40,B1060,True,False,True,True ASDS,1
83,2020-07-20,8191.079109589042,2,5,13,-80.577366,28.5618571,Falcon 9,GEO,CCSFS SLC 40,B1058,True,True,True,True ASDS,1
84,2020-08-18,15600.0,6,5,9,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1049,True,True,True,True ASDS,1
85,2020-08-30,1600.0,4,5,5,-80.577366,28.5618571,Falcon 9,SSO,CCSFS SLC 40,B1059,True,True,True,True RTLS,1
86,2020-09-03,15600.0,2,5,12,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1060,True,True,True,True ASDS,1
87,2020-10-06,15600.0,3,5,13,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1058,True,True,True,True ASDS,1
88,2020-10-18,15600.0,6,5,12,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1051,True,True,True,True ASDS,1
89,2020-10-24,15600.0,3,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1060,True,True,True,True ASDS,1
90,2020-11-05,3681.0,1,5,8,-80.577366,28.5618571,Falcon 9,MEO,CCSFS SLC 40,B1062,True,False,True,True ASDS,1
91,2020-11-16,8191.079109589042,1,5,9,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1061,True,False,True,True ASDS,1
92,2020-11-21,1440.0,1,5,6,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1063,True,False,True,True RTLS,1
93,2020-11-25,15600.0,7,5,9,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1049,True,True,True,True ASDS,1
94,2020-12-06,2972.0,4,5,13,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1058,True,True,True,True ASDS,1
95,2020-12-13,7000.0,7,5,12,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1051,True,True,True,True ASDS,1
96,2020-12-19,8191.079109589042,5,5,5,-80.6039558,28.6080585,Falcon 9,,KSC LC 39A,B1059,True,True,True,True RTLS,1
97,2021-01-08,3500.0,4,5,12,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1060,True,True,True,True ASDS,1
98,2021-01-20,15600.0,8,5,12,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1051,True,True,True,True ASDS,1
99,2021-01-24,8191.079109589042,5,5,13,-80.577366,28.5618571,Falcon 9,SSO,CCSFS SLC 40,B1058,True,True,True,True ASDS,1
100,2021-02-04,15600.0,5,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1060,True,True,True,True ASDS,1
101,2021-02-16,15600.0,6,5,5,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1059,True,True,True,False ASDS,0
102,2021-03-04,15600.0,8,5,9,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1049,True,True,True,True ASDS,1
103,2021-03-11,15600.0,6,5,13,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1058,True,True,True,True ASDS,1
104,2021-03-14,15600.0,9,5,12,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1051,True,True,True,True ASDS,1
105,2021-03-24,15600.0,6,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1060,True,True,True,True ASDS,1
106,2021-04-07,15600.0,7,5,13,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1058,True,True,True,True ASDS,1
107,2021-04-23,8191.079109589042,2,5,9,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1061,True,True,True,True ASDS,1
108,2021-04-29,15600.0,7,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1060,True,True,True,True ASDS,1
109,2021-05-04,15600.0,9,5,9,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1049,True,True,True,True ASDS,1
110,2021-05-09,15600.0,10,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1051,True,True,True,True ASDS,1
111,2021-05-26,15600.0,2,5,6,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1063,True,True,True,True ASDS,1
112,2021-06-03,3328.0,1,5,5,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1067,True,False,True,True ASDS,1
113,2021-06-06,7000.0,3,5,9,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1061,True,True,True,True ASDS,1
114,2021-06-17,3681.0,2,5,8,-80.577366,28.5618571,Falcon 9,MEO,CCSFS SLC 40,B1062,True,True,True,True ASDS,1
115,2021-06-30,8191.079109589042,8,5,12,-80.577366,28.5618571,Falcon 9,SSO,CCSFS SLC 40,B1060,True,True,True,True RTLS,1
116,2021-08-29,8191.079109589042,4,5,9,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1061,True,True,True,True ASDS,1
117,2021-09-14,15600.0,10,5,9,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1049,True,True,True,True ASDS,1
118,2021-09-16,8191.079109589042,3,5,8,-80.6039558,28.6080585,Falcon 9,LEO,KSC LC 39A,B1062,True,True,True,True ASDS,1
119,2021-11-11,12519.0,2,5,5,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1067,True,True,True,True ASDS,1
120,2021-11-13,13260.0,9,5,13,-80.577366,28.5618571,Falcon 9,LEO,CCSFS SLC 40,B1058,True,True,True,True ASDS,1
121,2021-11-24,670.0,2,5,6,-120.610829,34.632093,Falcon 9,TLI,VAFB SLC 4E,B1063,True,True,True,True ASDS,1
122,2021-12-01,13260.0,9,5,12,-80.577366,28.5618571,Falcon 9,PO,CCSFS SLC 40,B1060,True,True,True,True ASDS,1
123,2021-12-09,330.0,5,5,9,-80.6039558,28.6080585,Falcon 9,LEO,KSC LC 39A,B1061,True,True,True,True ASDS,1
124,2021-12-18,13260.0,11,5,12,-120.610829,34.632093,Falcon 9,PO,VAFB SLC 4E,B1051,True,True,True,True ASDS,1
125,2021-12-19,3500.0,3,5,5,-80.577366,28.5618571,Falcon 9,GTO,CCSFS SLC 40,B1067,True,True,True,True ASDS,1
126,2021-12-21,8191.079109589042,1,5,1,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1069,True,False,True,True ASDS,1
127,2022-01-06,13260.0,4,5,8,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1062,True,True,True,True ASDS,1
128,2022-01-13,8191.079109589042,10,5,13,-80.577366,28.5618571,Falcon 9,LEO,CCSFS SLC 40,B1058,True,True,True,True RTLS,1
129,2022-01-19,13260.0,10,5,12,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1060,True,True,True,True ASDS,1
130,2022-01-31,2240.0,3,5,6,-80.577366,28.5618571,Falcon 9,SSO,CCSFS SLC 40,B1052,True,True,True,True RTLS,1
131,2022-02-02,8191.079109589042,1,5,3,-120.610829,34.632093,Falcon 9,LEO,VAFB SLC 4E,B1071,True,False,True,True RTLS,1
132,2022-02-03,13260.0,6,5,9,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1061,True,True,True,True ASDS,1
133,2022-02-21,13260.0,11,5,13,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1058,True,True,True,True ASDS,1
134,2022-02-25,13260.0,4,5,6,-120.610829,34.632093,Falcon 9,VLEO,VAFB SLC 4E,B1063,True,True,True,True ASDS,1
135,2022-03-03,13260.0,11,5,12,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1060,True,True,True,True ASDS,1
136,2022-03-09,13260.0,4,5,6,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1052,True,True,True,True ASDS,1
137,2022-03-19,13260.0,12,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1051,True,True,True,True ASDS,1
138,2022-04-01,8191.079109589042,7,5,9,-80.577366,28.5618571,Falcon 9,SSO,CCSFS SLC 40,B1061,True,True,True,True ASDS,1
139,2022-04-08,8191.079109589042,5,5,8,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1062,True,True,True,True ASDS,1
140,2022-04-17,8191.079109589042,2,5,3,-120.610829,34.632093,Falcon 9,LEO,VAFB SLC 4E,B1071,True,True,True,True RTLS,1
141,2022-04-21,13260.0,12,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1060,True,True,True,True ASDS,1
142,2022-04-27,8191.079109589042,4,5,5,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1067,True,True,True,True ASDS,1
143,2022-04-29,13260.0,6,5,8,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1062,True,True,True,True ASDS,1
144,2022-05-06,13260.0,12,5,13,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1058,True,True,True,True ASDS,1
145,2022-05-13,13260.0,5,5,6,-120.610829,34.632093,Falcon 9,VLEO,VAFB SLC 4E,B1063,True,True,True,True ASDS,1
146,2022-05-14,13260.0,1,5,2,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1073,True,False,True,True ASDS,1
147,2022-05-18,13260.0,5,5,6,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1052,True,True,True,True ASDS,1
148,2022-05-25,8191.079109589042,8,5,9,-80.577366,28.5618571,Falcon 9,SSO,CCSFS SLC 40,B1061,True,True,True,True RTLS,1
149,2022-06-08,3938.0,7,5,8,-80.577366,28.5618571,Falcon 9,GEO,CCSFS SLC 40,B1062,True,True,True,True ASDS,1
150,2022-06-01,13260.0,13,5,12,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1060,True,True,True,True ASDS,1
151,2022-06-18,2200.0,3,5,3,-120.610829,34.632093,Falcon 9,SSO,VAFB SLC 4E,B1071,True,True,True,True RTLS,1
152,2022-06-19,700.0,9,5,9,-80.577366,28.5618571,Falcon 9,LEO,CCSFS SLC 40,B1061,True,True,True,True ASDS,1
153,2022-06-29,3500.0,2,5,2,-80.577366,28.5618571,Falcon 9,MEO,CCSFS SLC 40,B1073,True,True,True,True ASDS,1
154,2022-07-07,13260.0,13,5,13,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1058,True,True,True,True ASDS,1
155,2022-07-11,13260.0,6,5,6,-120.610829,34.632093,Falcon 9,VLEO,VAFB SLC 4E,B1063,True,True,True,True ASDS,1
156,2022-07-15,8191.079109589042,5,5,5,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1067,True,True,True,True ASDS,1
157,2022-07-17,13260.0,13,5,12,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1051,True,True,True,True ASDS,1
158,2022-07-21,13260.0,4,5,3,-120.610829,34.632093,Falcon 9,VLEO,VAFB SLC 4E,B1071,True,True,True,True ASDS,1
159,2022-07-24,13260.0,8,5,8,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1062,True,True,True,True ASDS,1
160,2022-08-04,678.0,6,5,6,-80.577366,28.5618571,Falcon 9,TLI,CCSFS SLC 40,B1052,True,True,True,True ASDS,1
161,2022-08-09,13260.0,3,5,2,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1073,True,True,True,True ASDS,1
162,2022-08-12,13260.0,10,5,9,-120.610829,34.632093,Falcon 9,VLEO,VAFB SLC 4E,B1061,True,True,True,True ASDS,1
163,2022-08-19,13260.0,9,5,8,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1062,True,True,True,True ASDS,1
164,2022-08-28,13260.0,2,5,1,-80.6039558,28.6080585,Falcon 9,VLEO,KSC LC 39A,B1069,True,True,True,True ASDS,1
165,2022-08-31,13260.0,7,5,6,-120.610829,34.632093,Falcon 9,VLEO,VAFB SLC 4E,B1063,True,True,True,True ASDS,1
166,2022-09-17,13260.0,6,5,5,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1067,True,True,True,True ASDS,1
167,2022-09-24,13260.0,4,5,0,-80.577366,28.5618571,Falcon 9,VLEO,CCSFS SLC 40,B1072,True,True,True,True ASDS,1
168,2022-10-05,8191.079109589042,1,5,0,-80.6039558,28.6080585,Falcon 9,ISS,KSC LC 39A,B1077,True,False,True,True ASDS,1
